,Population(2020),Male,Female,Male%,Female%,Urban%,GDP,Extreme_poverty,GDP_per_captial,Population_Density,Land_Area,Med_age,Health_care_index,Health_care_exp_index,Hospital_bed_per_thousand,Diabetes_prevalence,Lockdown_date,Lockdown_start_from,Total_vaccine,Johnson&Johnson,Pre_Johnson,Post_Johnson,Moderna,Pre_Moderna,Post_Moderna,Oxford/AstraZeneca,Pre_AstraZeneca,Post_AstraZeneca,Pfizer/BioNTech,Pre_Pfizer,Post_Pfizer,Sputnik V,Pre_Sputnik,Post_Sputnik,Sinopharm/Beijing,Pre_Sinopharm,Post_Sinopharm,People_fully_vaccinated_per_hundred,People_vaccinated_per_hundred,new_cases,Total_variants,Pre_variants,Post_variants,B.1.1.7_variants,Pre_B_1_1_7,Post_B_1_1_7,B.1.351_variants,Pre_B_1_351,Post_B_1_351,P.1_variants,Pre_P_1,Post_P_1,Other_variants,Pre_other_variant,Post_other_variant,Peak_infected_week,Peak_infected_cases,Total_tests,Pre_tests,Post_tests
Austria,9015361.0,4378772,4522292,0.48570123814232175,0.5142987618576782,57,428965.4,0.7,45436.686,109,82409,43,76.98,140.47,7.37,6.35,2020-11-17,50,17181833.0,292.0,0,292.0,1118169.0,0,1118169.0,3428628.0,0,3428628.0,12634744.0,0,12634744.0,0.0,0,0.0,0.0,0,0.0,5.82,14.97,562044.0,3026.0,383,2643.0,1290.0,0,1290.0,236.0,0,236.0,0.0,0,0.0,1500.0,383,1117.0,24,310,26614802,1126718,25488084
Belgium,11598451.0,5681225,5841215,0.48982618454826427,0.5101738154517357,98,515332.5,0.2,42658.576,383,30280,42,75.37,136.86,5.64,4.29,2020-11-2,35,20532920.0,0.0,0,0.0,1189379.0,0,1189379.0,3897864.0,0,3897864.0,15445677.0,0,15445677.0,0.0,0,0.0,0.0,0,0.0,5.1,13.87,857502.0,14495.0,610,13885.0,8014.0,0,8014.0,768.0,0,768.0,436.0,0,436.0,5277.0,610,4667.0,26,1331,9161079,1871099,7289980
Bulgaria,6939018.0,3369646,3581836,0.4856084823529785,0.5143915176470215,76,69105.1,1.5,18563.307,64,108560,45,56.28,99.82,7.454,5.81,2020-11-27,60,4434337.0,0.0,0,0.0,383109.0,0,383109.0,1790284.0,0,1790284.0,2260944.0,0,2260944.0,0.0,0,0.0,0.0,0,0.0,1.55,6.13,377445.0,1407.0,0,1407.0,1187.0,0,1187.0,0.0,0,0.0,0.0,0,0.0,220.0,0,220.0,24,268,1904155,396728,1507427
Croatia,4100719.0,1971650,2086515,0.48080592696061347,0.5191940730393865,58,55966.58,0.7,22669.797,73,55960,44,63.95,117.26,5.54,5.59,2021-4-9,193,5173709.0,108.0,33,75.0,568658.0,266623,302035.0,1427670.0,748100,679570.0,3177273.0,1983175,1194098.0,0.0,0,0.0,0.0,0,0.0,2.46,10.54,306839.0,1211.0,1211,0.0,517.0,517,0.0,10.0,10,0.0,0.0,0,0.0,684.0,684,0.0,22,336,1531571,1321889,209682
Cyprus,1208886.0,434471,453534,0.359397825766863,0.6406021742331369,67,23804.34,0.5,32415.132,131,9240,37,54.59,95.0,3.4,9.24,2021-1-10,104,1555135.0,0.0,0,0.0,49083.0,0,49083.0,440274.0,0,440274.0,1065778.0,353,1065425.0,0.0,0,0.0,0.0,0,0.0,5.35,13.09,60653.0,91.0,67,24.0,10.0,1,9.0,0.0,0,0.0,0.0,0,0.0,81.0,66,15.0,14,29,4629314,596341,4032973
Czechia,10712481.0,5271996,5421943,0.4921358553634774,0.5078641446365226,74,243530.38,0.5,32605.906,139,77240,43,75.39,138.43,6.63,6.82,2020-10-22,24,16952936.0,276.0,0,276.0,1494202.0,0,1494202.0,1825385.0,0,1825385.0,13633073.0,0,13633073.0,0.0,0,0.0,0.0,0,0.0,5.93,11.91,1555609.0,2035.0,98,1937.0,1364.0,0,1364.0,34.0,0,34.0,0.0,0,0.0,637.0,98,539.0,20,338,16497473,478079,16019394
Denmark,5795780.0,2896918,2925845,0.49983229177090915,0.5001677082290908,88,355184.02,0.2,46682.515,137,42430,42,79.79,147.0,2.5,6.41,2020-12-25,88,12217951.0,0.0,0,0.0,653363.0,0,653363.0,1339895.0,0,1339895.0,10224693.0,0,10224693.0,0.0,0,0.0,0.0,0,0.0,7.17,13.9,221689.0,44631.0,18179,26452.0,4889.0,53,4836.0,12.0,0,12.0,0.0,0,0.0,39730.0,18126,21604.0,12,3817,31087406,5657774,25429632
Estonia,1326693.0,629227,699699,0.474282294396669,0.525717705603331,68,31029.97,0.5,29481.252,31,42390,42,72.68,132.96,4.69,4.02,2021-3-11,164,2686417.0,0.0,0,0.0,148042.0,0,148042.0,784727.0,28292,756435.0,1753648.0,381346,1372302.0,0.0,0,0.0,0.0,0,0.0,5.35,17.47,117178.0,1442.0,611,831.0,845.0,140,705.0,5.0,2,3.0,0.0,0,0.0,592.0,469,123.0,21,416,951934,625835,326099
Finland,5542237.0,2785818,2797030,0.5026522683890999,0.49734773161090007,86,271233.88,1.0,40585.721,18,303890,43,76.19,138.8,3.28,5.76,2021-3-8,161,10364967.0,0.0,0,0.0,576845.0,0,576845.0,1771121.0,0,1771121.0,8017001.0,2072069,5944932.0,0.0,0,0.0,0.0,0,0.0,1.63,17.93,76255.0,2137.0,2112,25.0,922.0,912,10.0,10.0,7,3.0,0.0,0,0.0,1205.0,1193,12.0,20,310,3335072,2418182,916890
France,65298930.0,32532669,34787547,0.4982113642597206,0.5017886357402794,82,2603004.4,4.0,38605.671,119,547557,42,80.56,147.74,5.98,4.77,2020-10-30,32,114839372.0,2569.0,0,2569.0,7393591.0,0,7393591.0,19493809.0,0,19493809.0,87949403.0,0,87949403.0,0.0,0,0.0,0.0,0,0.0,4.74,14.03,4959475.0,18792.0,434,18358.0,10923.0,0,10923.0,896.0,0,896.0,87.0,0,87.0,6886.0,434,6452.0,25,2687,55970341,4493188,51477153
Germany,83830972.0,41037613,42129098,0.4895280589135958,0.5104719410864043,76,3806060.14,0.5,45229.245,240,348560,46,73.49,133.89,8.0,8.31,2020-11-24,57,148445777.0,220.0,0,220.0,6836883.0,0,6836883.0,25599421.0,0,25599421.0,116009253.0,0,116009253.0,0.0,0,0.0,0.0,0,0.0,5.53,12.88,3013993.0,70444.0,1034,69410.0,46379.0,0,46379.0,1236.0,0,1236.0,117.0,0,117.0,22712.0,1034,21678.0,26,7358,38581868,11244247,27337621
Greece,10413936.0,5215488,5503077,0.5008181344690422,0.4991818655309578,85,189410.11,1.5,24574.382,81,128900,46,57.09,101.39,4.21,4.55,2020-11-5,38,100333004.0,,0,,,0,,,0,,,0,,,0,,,0,,6.63,12.6,315685.0,666.0,4,662.0,474.0,0,474.0,29.0,0,29.0,0.0,0,0.0,163.0,4,159.0,25,133,8020374,583938,7436436
Hungary,9655983.0,4680790,5088736,0.484755410194902,0.515244589805098,72,155012.93,0.5,26777.561,107,90530,43,52.85,94.99,7.02,7.55,2020-11-11,44,28310956.0,0.0,0,0.0,1217729.0,0,1217729.0,3516566.0,0,3516566.0,13779053.0,0,13779053.0,3600615.0,0,3600615.0,6196993.0,0,6196993.0,11.16,27.0,746738.0,218.0,149,69.0,29.0,0,29.0,0.0,0,0.0,0.0,0,0.0,189.0,149,40.0,1,75,4279212,527926,3751286
Iceland,341628.0,186941,177193,0.5472063179833034,0.45279368201669656,94,21714670.57,0.2,46482.958,3,100250,37,65.85,120.11,2.91,5.31,No,203,734220.0,15.0,15,0.0,69972.0,69972,0.0,138632.0,138632,0.0,525601.0,525601,0.0,0.0,0,0.0,0.0,0,0.0,7.13,14.73,3806.0,2864.0,2864,0.0,20.0,20,0.0,0.0,0,0.0,0.0,0,0.0,2844.0,2844,0.0,2,557,304784,304784,0
Ireland,4947267.0,2457657,2335733,0.496770641244954,0.503229358755046,63,418621.82,0.2,67335.293,72,68890,38,52.82,96.09,2.96,3.28,2020-10-19,21,9254450.0,0.0,0,0.0,328742.0,0,328742.0,1673177.0,0,1673177.0,7252531.0,0,7252531.0,0.0,0,0.0,0.0,0,0.0,5.54,13.51,211643.0,9039.0,167,8872.0,7500.0,0,7500.0,71.0,0,71.0,26.0,0,26.0,1442.0,167,1275.0,22,931,3261647,298726,2962921
Italy,60446035.0,29050096,30591392,0.4805955593282504,0.5194044406717496,69,1886445.27,2.0,35220.084,206,294140,47,66.99,121.46,3.18,4.78,2021-3-15,168,107469310.0,12715.0,1,12714.0,5554991.0,837823,4717168.0,17889593.0,2349420,15540173.0,84012011.0,23019684,60992327.0,0.0,0,0.0,0.0,0,0.0,5.98,13.43,3652804.0,18642.0,12867,5775.0,11361.0,6355,5006.0,37.0,22,15.0,553.0,356,197.0,6691.0,6134,557.0,22,2367,46062254,33559541,12502713
Latvia,1882408.0,880956,1026719,0.4679941861700545,0.5320058138299455,69,33505.19,0.7,25063.846,30,62200,44,62.02,111.36,5.57,4.91,2020-11-6,39,1672444.0,58.0,0,58.0,211990.0,0,211990.0,912386.0,0,912386.0,548010.0,0,548010.0,0.0,0,0.0,0.0,0,0.0,1.37,7.32,113640.0,2607.0,355,2252.0,835.0,45,790.0,3.0,0,3.0,0.0,0,0.0,1769.0,310,1459.0,25,405,1858462,147319,1711143
Liechtenstein,38147.0,19215,19532,0.5037093349411487,0.49629066505885133,15,6839145.11,0.5,181402.83,238,160,44,53.24,95.13,2.397,7.77,2020-12-20,83,56348.0,0.0,0,0.0,26812.0,0,26812.0,0.0,0,0.0,29536.0,0,29536.0,0.0,0,0.0,0.0,0,0.0,11.16,34.08,2786.0,42.0,8,34.0,3.0,0,3.0,0.0,0,0.0,0.0,0,0.0,39.0,8,31.0,12,10,31277,10321,20956
Lithuania,2715340.0,1304354,1489736,0.4803648898480485,0.5196351101519515,71,55887.27,0.7,29524.265,43,62674,45,70.91,128.54,6.56,3.67,2020-11-7,40,5414627.0,6.0,0,6.0,392677.0,0,392677.0,1040162.0,0,1040162.0,3981782.0,0,3981782.0,0.0,0,0.0,0.0,0,0.0,6.63,15.28,237487.0,5571.0,8,5563.0,2105.0,0,2105.0,9.0,0,9.0,0.0,0,0.0,3457.0,8,3449.0,25,1147,2025113,204874,1820239
Luxembourg,627704.0,314964,311144,0.5017715356282579,0.49822846437174206,88,73263.98,0.2,94277.965,242,2590,40,72.92,132.01,4.51,4.42,2020-12-26,89,980685.0,4626.0,0,4626.0,67097.0,0,67097.0,199444.0,0,199444.0,709518.0,0,709518.0,0.0,0,0.0,0.0,0,0.0,4.22,13.8,57845.0,5540.0,2664,2876.0,1467.0,0,1467.0,415.0,0,415.0,3.0,0,3.0,3655.0,2664,991.0,10,405,1994452,942604,1051848
Malta,441750.0,265762,248802,0.6016117713638937,0.39838822863610635,93,14647.38,0.2,36513.323,1380,320,43,58.58,103.03,4.485,8.83,2021-3-10,163,1925469.0,0.0,0,0.0,62976.0,0,62976.0,322170.0,0,322170.0,1540323.0,150574,1389749.0,0.0,0,0.0,0.0,0,0.0,13.84,36.67,27182.0,5.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,5.0,5,0.0,12,3,580873,473411,107462
Netherlands,17141544.0,8648031,8759554,0.5045071202454108,0.4954928797545892,92,912242.34,15.0,48472.545,508,33720,43,75.28,137.25,3.32,5.29,2020-10-13,15,28561503.0,8886.0,0,8886.0,1563366.0,0,1563366.0,5519788.0,0,5519788.0,21469463.0,0,21469463.0,0.0,0,0.0,0.0,0,0.0,4.03,29.36,1353929.0,21306.0,275,21031.0,11762.0,0,11762.0,495.0,0,495.0,194.0,0,194.0,8855.0,275,8580.0,24,2027,12623781,658068,11965713
Norway,5428594.0,2718873,2660602,0.5008429438635492,0.4991570561364508,83,362008956.54,0.2,64800.057,15,365268,40,75.59,138.01,3.6,5.31,2020-3-12,0,66034728.0,,0,,,0,,,0,,,0,,,0,,,0,,5.3,13.03,97205.0,5735.0,0,5735.0,2537.0,0,2537.0,279.0,0,279.0,3.0,0,3.0,2916.0,0,2916.0,23,582,4670065,0,4670065
Poland,37839255.0,18373381,19584757,0.48556402603592486,0.5144359739640751,60,594164.69,0.5,27216.445,124,306230,42,56.15,99.74,6.62,5.91,2020-11-7,40,66126380.0,99683.0,0,99683.0,3863429.0,0,3863429.0,9972706.0,0,9972706.0,52190562.0,0,52190562.0,0.0,0,0.0,0.0,0,0.0,5.52,12.97,2674993.0,5991.0,2,5989.0,4480.0,0,4480.0,16.0,0,16.0,2.0,0,2.0,1493.0,2,1491.0,24,1084,11303448,1549727,9753721
Portugal,10191409.0,4859977,5435932,0.4768699794110903,0.5231300205889098,66,231255.59,0.5,27936.896,111,91590,46,71.85,130.68,3.39,9.85,2020-11-9,42,18996235.0,455.0,0,455.0,1101912.0,0,1101912.0,3241851.0,0,3241851.0,14652017.0,0,14652017.0,0.0,0,0.0,0.0,0,0.0,5.77,13.71,761034.0,4383.0,28,4355.0,2137.0,0,2137.0,62.0,0,62.0,68.0,0,68.0,2116.0,28,2088.0,19,853,7724365,1186489,6537876
Romania,19214608.0,9460661,9868177,0.49236815031563486,0.5076318496843651,55,248715.55,5.7,23313.199,84,230170,43,55.98,98.62,6.892,9.74,2020-11-5,38,31754929.0,0.0,0,0.0,2130042.0,0,2130042.0,2989872.0,0,2989872.0,26635015.0,0,26635015.0,0.0,0,0.0,0.0,0,0.0,6.54,11.21,924847.0,484.0,10,474.0,274.0,0,274.0,1.0,0,1.0,3.0,0,3.0,206.0,10,196.0,24,86,5425937,887479,4538458
Slovakia,5460109.0,2665350,2792523,0.48814959554836723,0.5118504044516328,54,104574.15,0.7,30155.152,114,48088,41,60.19,108.78,5.82,7.29,2020-10-22,24,9436496.0,0.0,0,0.0,564072.0,0,564072.0,1977199.0,0,1977199.0,6895225.0,0,6895225.0,0.0,0,0.0,0.0,0,0.0,4.94,14.57,370932.0,2103.0,1,2102.0,1850.0,0,1850.0,16.0,0,16.0,0.0,0,0.0,237.0,1,236.0,26,287,2064363,195462,1868901
Slovenia,2078989.0,1051066,1044795,0.5055659265152437,0.4944340734847563,55,52880.47,0.7,31400.84,103,20140,45,65.19,120.1,4.5,7.25,2020-10-18,20,3876566.0,0.0,0,0.0,266440.0,0,266440.0,654727.0,0,654727.0,2955399.0,0,2955399.0,0.0,0,0.0,0.0,0,0.0,5.74,14.12,231869.0,6832.0,34,6798.0,2040.0,0,2040.0,29.0,0,29.0,1.0,0,1.0,4762.0,34,4728.0,26,967,3114918,40386,3074532
Spain,46757980.0,23199313,24133301,0.49615729764202815,0.5038427023579719,80,1281199.09,1.0,34272.36,94,498800,45,78.85,145.2,2.97,7.17,2020-10-25,27,88456365.0,33901.0,0,33901.0,4663192.0,0,4663192.0,15943499.0,0,15943499.0,67815773.0,0,67815773.0,0.0,0,0.0,0.0,0,0.0,6.29,13.72,2768507.0,14312.0,695,13617.0,6559.0,0,6559.0,63.0,0,63.0,113.0,0,113.0,7577.0,695,6882.0,18,1206,30019455,1578742,28440713
Sweden,10110233.0,5195814,5131775,0.5139163459437581,0.4860836540562419,88,537609.87,0.5,46949.283,25,410340,41,68.82,126.01,2.22,4.79,No,203,18785178.0,0.0,0,0.0,1423703.0,1423703,0.0,2944344.0,2944344,0.0,14417131.0,14417131,0.0,0.0,0,0.0,0.0,0,0.0,5.36,12.62,857643.0,24495.0,24495,0.0,15473.0,15473,0.0,558.0,558,0.0,25.0,25,0.0,8439.0,8439,0.0,21,3280,7132929,7132929,0
